,Population,"Households with household income $200,000 or more",Median family income,Households,Name,zipcode,"Percent of households with income over $200,000"
320,8110.0,262.0,105259.0,3075.0,ZCTA5 02054,02054,8.520325203252032
321,11442.0,865.0,155221.0,3160.0,ZCTA5 02056,02056,27.37341772151899
322,10845.0,962.0,126016.0,3635.0,ZCTA5 02061,02061,26.464924346629985
323,29018.0,993.0,107097.0,11752.0,ZCTA5 02062,02062,8.449625595643296
324,17978.0,1457.0,135194.0,6518.0,ZCTA5 02066,02066,22.353482663393677
325,18066.0,1705.0,139553.0,6123.0,ZCTA5 02067,02067,27.845827208884533
326,1686.0,75.0,113672.0,315.0,ZCTA5 02071,02071,23.809523809523807
327,28260.0,696.0,93357.0,10578.0,ZCTA5 02072,02072,6.579693703913783
328,19481.0,1275.0,117672.0,7144.0,ZCTA5 02081,02081,17.847144456886898
329,15364.0,1835.0,161113.0,5609.0,ZCTA5 02090,02090,32.71527901586735
330,11483.0,636.0,128942.0,3950.0,ZCTA5 02093,02093,16.10126582278481
331,4049.0,524.0,181696.0,2006.0,ZCTA5 02108,02108,26.12163509471585
332,4015.0,358.0,174500.0,2043.0,ZCTA5 02109,02109,17.523250122369067
