,Zipcode,GF_Total,GF_Price_1,GF_Price_2,GF_Price_3,GF_Price_4,GF_Price_0,GF_Rating_10,GF_Rating_15,GF_Rating_20,GF_Rating_25,GF_Rating_30,GF_Rating_35,GF_Rating_40,GF_Rating_45,GF_Rating_50,GF_Price_Mean,GF_Rating_Mean,GF_Price_Std,GF_Rating_Std,ALL_Total,ALL_Price_1,ALL_Price_2,ALL_Price_3,ALL_Price_4,ALL_Price_0,ALL_Rating_10,ALL_Rating_15,ALL_Rating_20,ALL_Rating_25,ALL_Rating_30,ALL_Rating_35,ALL_Rating_40,ALL_Rating_45,ALL_Rating_50,ALL_Price_Mean,ALL_Rating_Mean,ALL_Price_Std,ALL_Rating_Std
31,90744,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1.0,4.0,0.0,0.0,92,67,8,0,0,0,2,2,2,6,15,7,28,21,9,1.1066666666666667,3.75,0.3107677212591046,0.9213582901895977
32,90747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,5,5,0,0,0,0,0,0,2,0,1,1,1,0,0,1.0,2.9,0.0,0.8944271909999159
33,90804,18,9,9,0,0,0,0,0,0,0,2,3,9,4,0,1.5,3.9166666666666665,0.5144957554275266,0.46177407259139946,98,70,20,1,0,0,0,2,7,6,8,25,32,16,2,1.2417582417582418,3.607142857142857,0.45559873525966627,0.7807279183391785
34,90822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,3.5,,
35,90846,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1.5,4.0,0.7071067811865476,0.0,3,2,1,0,0,0,0,0,0,0,1,0,2,0,0,1.3333333333333333,3.6666666666666665,0.5773502691896257,0.5773502691896258
36,91066,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0,3.5,,,4,3,0,1,0,0,0,1,0,0,0,2,1,0,0,1.5,3.125,1.0,1.1086778913041726
37,91101,71,18,45,5,1,0,0,0,0,2,9,12,35,13,0,1.8405797101449275,3.8380281690140845,0.6093194951988047,0.5055029170985772,124,35,63,8,1,0,0,0,3,5,17,26,49,18,6,1.766355140186916,3.7701612903225805,0.6231302485418736,0.6420216847526493
38,91103,31,7,20,2,0,0,0,0,0,1,0,8,17,5,0,1.8275862068965518,3.903225806451613,0.5391107438074945,0.4167204266393653,65,29,33,2,0,0,0,2,2,5,2,13,27,14,0,1.578125,3.723076923076923,0.5579067311253025,0.7449348190381389
39,91105,69,9,51,7,0,0,0,0,0,2,3,11,39,13,1,1.9701492537313432,3.9420289855072466,0.49144651220198454,0.458066844949078,106,19,71,6,1,0,2,0,0,6,10,16,51,17,4,1.8865979381443299,3.806603773584906,0.537670295886836,0.6885829296702348
40,91124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,3.0,,
41,91209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,3.25,,1.7677669529663689
42,91210,16,2,14,0,0,0,0,0,0,1,2,6,6,1,0,1.875,3.625,0.3415650255319866,0.5,39,12,20,0,0,0,0,0,3,4,9,9,11,3,0,1.625,3.3846153846153846,0.4918693768379647,0.6926449920559903
43,91307,15,4,10,0,0,0,0,0,1,1,3,3,4,1,2,1.7142857142857142,3.6333333333333333,0.4688072309384954,0.8549575316659775,37,18,17,0,0,0,0,0,3,6,10,5,8,3,2,1.4857142857142858,3.3513513513513513,0.5070925528371099,0.8153464231783873
44,91316,30,4,24,0,0,0,0,0,1,0,2,9,12,5,1,1.8571428571428572,3.8333333333333335,0.35634832254989923,0.5773502691896258,60,11,42,0,0,0,1,0,1,1,5,13,26,13,0,1.7924528301886793,3.808333333333333,0.40943162132389443,0.6450047080807454
45,91329,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,4.0,,
46,91330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,6,5,0,0,0,0,0,0,2,0,2,1,0,1,0,1.0,3.0,0.0,0.9486832980505138
47,91361,23,1,18,4,0,0,0,0,0,0,0,8,8,7,0,2.130434782608696,3.9782608695652173,0.45769658728016005,0.41226262783364237,44,10,22,5,0,0,0,1,0,4,3,11,12,11,2,1.864864864864865,3.784090909090909,0.630791485276948,0.7423855895936853
48,91403,56,13,40,2,0,0,0,0,0,1,9,11,25,9,1,1.8,3.8125,0.4868644955601476,0.5271061649145351,91,31,52,3,0,0,1,2,3,2,13,21,36,13,0,1.6744186046511629,3.6263736263736264,0.5410634509951083,0.7210848562848687
49,91411,14,6,8,0,0,0,0,0,0,1,0,2,8,3,0,1.5714285714285714,3.9285714285714284,0.5135525910130955,0.5135525910130955,50,25,21,0,0,0,1,3,6,6,1,8,16,8,1,1.4565217391304348,3.37,0.503610155185335,1.0242468611878004
50,91436,33,4,22,4,1,0,0,0,0,0,5,7,13,7,1,2.064516129032258,3.878787878787879,0.6290460434111187,0.5307763039628699,70,19,34,7,2,0,0,0,0,3,11,14,19,18,5,1.8709677419354838,3.8785714285714286,0.7351563002706322,0.6562724904950216
51,91602,36,4,31,1,0,0,0,0,1,1,1,5,17,11,0,1.9166666666666667,3.9583333333333335,0.3683941988065036,0.5653696641515683,58,16,37,3,0,0,1,0,3,2,4,8,24,15,1,1.7678571428571428,3.8017241379310347,0.5390588238628652,0.7719856782851053
52,91607,17,4,11,1,0,0,0,0,0,0,0,3,7,5,2,1.8125,4.176470588235294,0.5439056290693574,0.4657378712386211,64,19,34,1,0,0,1,0,2,5,4,10,22,15,5,1.6666666666666667,3.828125,0.5139561687500466,0.812690759047542
53,91737,4,2,2,0,0,0,0,0,0,0,0,1,0,3,0,1.5,4.25,0.5773502691896257,0.5,19,11,7,0,0,0,0,1,2,1,1,4,6,4,0,1.3888888888888888,3.526315789473684,0.5016313257045503,0.9200495791370025
54,91776,42,22,19,0,0,0,0,0,0,0,4,16,18,3,1,1.4634146341463414,3.7738095238095237,0.5048544827774512,0.4305750685573681,188,82,74,6,0,0,3,2,10,11,22,59,57,17,7,1.5308641975308641,3.5398936170212765,0.5702003516926927,0.7754619043465191
